lon,lat,alt,rel_alt,heading,time
55.4718207,10.3250215,15.661,0.004,320.0,1669364277.365695
55.4718207,10.3250215,15.661,0.004,320.0,1669364277.3658338
55.4718208,10.3250215,15.664,0.007,320.0,1669364278.365834
55.4718208,10.3250214,15.662,0.006,320.0,1669364279.3652537
55.4718209,10.3250214,15.661,0.004,320.0,1669364280.365657
55.4718209,10.3250214,15.661,0.004,320.0,1669364281.3658004
55.471821,10.3250214,15.663,0.007,320.0,1669364282.3658564
55.471821,10.3250214,15.665,0.008,320.0,1669364283.3656878
55.471821,10.3250214,15.667,0.01,320.0,1669364284.3658383
55.471821,10.3250214,15.668,0.012,320.0,1669364285.3658834
55.471821,10.3250214,15.671,0.015,320.0,1669364286.3658524
55.471821,10.3250214,15.674,0.017,320.0,1669364287.3658924
55.471821,10.3250215,15.677,0.021,320.0,1669364288.365873
55.4718209,10.3250215,15.681,0.024,320.0,1669364289.3657882
55.4718209,10.3250215,15.684,0.028,320.0,1669364290.3658993
55.4718209,10.3250215,15.688,0.032,320.0,1669364291.365871
55.4718208,10.3250215,15.689,0.033,320.0,1669364292.3658633
55.4718208,10.3250215,15.689,0.033,320.0,1669364293.3653443
55.4718208,10.3250215,15.692,0.035,320.0,1669364294.3658717
55.4718208,10.3250215,15.693,0.036,320.0,1669364295.3658483
55.4718208,10.3250215,15.696,0.039,320.0,1669364296.3658872
55.4718208,10.3250216,15.695,0.039,320.0,1669364297.3658783
55.4718208,10.3250216,15.694,0.038,320.0,1669364298.3652747
55.4718208,10.3250216,15.694,0.038,319.0,1669364299.3658528
55.4718208,10.3250216,15.693,0.037,319.0,1669364300.3657856
55.4718208,10.3250216,15.695,0.039,319.0,1669364301.3658679
55.4718208,10.3250216,15.693,0.037,319.0,1669364302.3658626
55.4718208,10.3250215,15.691,0.034,319.0,1669364303.365335
55.4718208,10.3250215,15.687,0.031,319.0,1669364304.3652475
55.4718208,10.3250215,15.686,0.03,319.0,1669364305.365326
55.4718208,10.3250215,15.689,0.033,319.0,1669364306.3657556
55.4718208,10.3250215,15.695,0.039,319.0,1669364307.3658688
55.4718208,10.3250215,15.7,0.043,319.0,1669364308.365899
55.4718208,10.3250215,15.701,0.045,319.0,1669364309.365837
55.4718208,10.3250215,15.701,0.045,319.0,1669364310.3653848
55.4718208,10.3250214,15.701,0.044,319.0,1669364311.3658864
55.4718208,10.3250214,15.703,0.047,319.0,1669364312.3658788
55.4718208,10.3250214,15.706,0.049,319.0,1669364313.3658457
55.4718208,10.3250214,15.708,0.052,319.0,1669364314.3657582
55.4718208,10.3250214,15.712,0.055,319.0,1669364315.365844
55.4718208,10.3250213,15.714,0.057,319.0,1669364316.3658698
55.4718208,10.3250213,15.712,0.056,319.0,1669364317.3658342
55.4718208,10.3250213,15.713,0.057,319.0,1669364318.3658488
55.4718208,10.3250212,15.716,0.06,319.0,1669364319.3656297
55.4718207,10.3250212,15.717,0.061,319.0,1669364320.3653343
55.4718208,10.3250212,15.72,0.063,319.0,1669364321.3648577
55.4718208,10.3250212,15.721,0.065,319.0,1669364322.3660405
55.4718208,10.3250212,15.722,0.066,319.0,1669364323.3653903
55.4718208,10.3250212,15.724,0.067,319.0,1669364324.3658526
55.4718207,10.3250212,15.724,0.068,319.0,1669364325.3658893
55.4718207,10.3250212,15.726,0.07,319.0,1669364326.3658557
55.4718207,10.3250212,15.728,0.071,319.0,1669364327.36589
55.4718207,10.3250211,15.73,0.074,319.0,1669364328.3658829
55.4718207,10.3250211,15.731,0.074,319.0,1669364329.3658087
55.4718207,10.3250211,15.731,0.074,319.0,1669364330.3657067
55.4718207,10.3250211,15.731,0.074,319.0,1669364331.3657362
55.4718207,10.3250211,15.731,0.074,319.0,1669364332.366438
55.4718207,10.3250211,15.731,0.074,319.0,1669364333.3656547
55.4718207,10.3250211,15.731,0.074,319.0,1669364334.365304
55.4718207,10.3250211,15.731,0.074,319.0,1669364335.3656695
55.4718207,10.3250211,15.731,0.074,319.0,1669364336.365794
55.4718207,10.3250211,15.731,0.074,319.0,1669364337.3657696
55.4718207,10.3250211,15.731,0.074,319.0,1669364338.3657837
55.4718207,10.3250211,15.731,0.074,319.0,1669364339.3658068
55.4718207,10.3250211,15.731,0.074,319.0,1669364340.3652081
55.4718207,10.3250211,15.731,0.074,319.0,1669364341.3657758
55.4718207,10.3250211,15.731,0.074,319.0,1669364342.3658056
55.4718207,10.3250211,15.731,0.074,319.0,1669364343.3657708
55.4718207,10.3250211,15.731,0.074,319.0,1669364344.365796
55.4718207,10.3250211,15.731,0.074,319.0,1669364345.3658133
55.4718207,10.3250211,15.731,0.074,319.0,1669364346.365821
55.4718207,10.3250211,15.731,0.074,319.0,1669364347.3658078
55.4718207,10.3250211,15.731,0.074,319.0,1669364348.3657863
55.4718207,10.3250211,15.731,0.074,319.0,1669364349.3656976
55.4718207,10.3250211,15.731,0.074,319.0,1669364350.3657482
55.4718207,10.3250211,15.731,0.074,319.0,1669364351.365708
55.4718207,10.3250211,15.731,0.074,319.0,1669364352.3657937
55.4718207,10.3250211,15.731,0.074,319.0,1669364353.365814
55.4718207,10.3250211,15.731,0.074,319.0,1669364354.365821
55.4718207,10.3250211,15.731,0.074,319.0,1669364355.3658113
55.4718207,10.3250211,15.731,0.074,319.0,1669364356.3658285
55.4718207,10.3250211,15.731,0.074,319.0,1669364357.365837
55.4718207,10.3250211,15.731,0.074,319.0,1669364358.3657749
55.4718207,10.3250211,15.731,0.074,319.0,1669364359.365685
55.4718207,10.3250211,15.731,0.074,319.0,1669364360.36577
55.4718207,10.3250211,15.731,0.074,319.0,1669364361.3657436
55.4718207,10.3250211,15.731,0.074,319.0,1669364362.365738
55.4718207,10.3250211,15.731,0.074,319.0,1669364363.365757
55.4718207,10.3250211,15.731,0.074,319.0,1669364364.3657515
55.4718207,10.3250211,15.731,0.074,319.0,1669364365.365687
55.4718207,10.3250211,15.731,0.074,319.0,1669364366.3657973
55.4718207,10.3250211,15.731,0.074,319.0,1669364367.3657553
55.4718207,10.3250211,15.731,0.074,319.0,1669364368.3657827
55.4718207,10.3250211,15.731,0.074,319.0,1669364369.3658147
55.4718207,10.3250211,15.731,0.074,319.0,1669364370.3657858
55.4718207,10.3250211,15.731,0.074,319.0,1669364371.365818
55.4718207,10.3250211,15.731,0.074,319.0,1669364372.3657856
55.4718207,10.3250211,15.731,0.074,319.0,1669364373.3657053
55.4718207,10.3250211,15.731,0.074,319.0,1669364374.365663
55.4718207,10.3250211,15.731,0.074,319.0,1669364375.3658137
55.4718207,10.3250211,15.731,0.074,319.0,1669364376.365987
55.4718207,10.3250211,15.731,0.074,319.0,1669364377.3650916
55.4718207,10.3250211,15.731,0.074,319.0,1669364378.3657448
55.4718207,10.3250211,15.731,0.074,319.0,1669364379.3658085
55.4718207,10.3250211,15.731,0.074,319.0,1669364380.3658524
55.4718207,10.3250211,15.731,0.074,319.0,1669364381.3658452
55.4718207,10.3250211,15.731,0.074,319.0,1669364382.36585
55.4718207,10.3250211,15.731,0.074,319.0,1669364383.365702
55.4718207,10.3250211,15.731,0.074,319.0,1669364384.3657274
55.4718207,10.3250211,15.731,0.074,319.0,1669364385.3657403
55.4718207,10.3250211,15.731,0.074,319.0,1669364386.3657231
55.4718207,10.3250211,15.731,0.074,319.0,1669364387.3658135
55.4718207,10.3250211,15.731,0.074,319.0,1669364388.3657675
55.4718207,10.3250211,15.731,0.074,319.0,1669364389.3658469
55.4718207,10.3250211,15.731,0.074,319.0,1669364390.3657367
55.4718207,10.3250211,15.731,0.074,319.0,1669364391.3660665
55.4718207,10.3250211,15.731,0.074,319.0,1669364392.366199
55.4718207,10.3250211,15.731,0.074,319.0,1669364393.365857
55.4718207,10.3250211,15.731,0.074,319.0,1669364394.365759
55.4718207,10.3250211,15.731,0.074,319.0,1669364395.365803
55.4718207,10.3250211,15.731,0.074,319.0,1669364396.3658645
55.4718207,10.3250211,15.731,0.074,319.0,1669364397.365844
55.4718207,10.3250211,15.731,0.074,319.0,1669364398.3658628
55.4718207,10.3250211,15.731,0.074,319.0,1669364399.3658612
55.4718207,10.3250211,15.731,0.074,319.0,1669364400.3658376
55.4718207,10.3250211,15.731,0.074,319.0,1669364401.3657994
55.4718207,10.3250211,15.731,0.074,319.0,1669364402.3657513
55.4718207,10.3250211,15.731,0.074,319.0,1669364403.365803
55.4718207,10.3250211,15.731,0.074,319.0,1669364404.3657541
55.4718207,10.3250211,15.731,0.074,319.0,1669364405.3658338
55.4718207,10.3250211,15.731,0.074,319.0,1669364406.3657737
55.4718207,10.3250211,15.731,0.074,319.0,1669364407.3657992
55.4718207,10.3250211,15.731,0.074,319.0,1669364408.3657792
55.4718207,10.3250211,15.731,0.074,319.0,1669364409.365767
55.4718207,10.3250211,15.731,0.074,319.0,1669364410.3657308
55.4718207,10.3250211,15.731,0.074,319.0,1669364411.365752
55.4718207,10.3250211,15.731,0.074,319.0,1669364412.365754
55.4718207,10.3250211,15.731,0.074,319.0,1669364413.3658104
55.4718207,10.3250211,15.731,0.074,319.0,1669364414.365837
55.4718207,10.3250211,15.731,0.074,319.0,1669364415.3658392
55.4718207,10.3250211,15.731,0.074,319.0,1669364416.3658407
55.4718207,10.3250211,15.731,0.074,319.0,1669364417.3658438
55.4718207,10.3250211,15.731,0.074,319.0,1669364418.3658714
55.4718207,10.3250211,15.731,0.074,319.0,1669364419.3657336
55.4718207,10.3250211,15.731,0.074,319.0,1669364420.3658104
55.4718207,10.3250211,15.731,0.074,319.0,1669364421.3658419
55.4718207,10.3250211,15.731,0.074,319.0,1669364422.3657737
55.4718207,10.3250211,15.731,0.074,319.0,1669364423.365803
55.4718207,10.3250211,15.731,0.074,319.0,1669364424.3657346
55.4718207,10.3250211,15.731,0.074,319.0,1669364425.365806
55.4718207,10.3250211,15.731,0.074,319.0,1669364426.3658066
55.4718207,10.3250211,15.731,0.074,319.0,1669364427.3657048
55.4718207,10.3250211,15.731,0.074,319.0,1669364428.3658268
55.4718207,10.3250211,15.731,0.074,319.0,1669364429.3658078
55.4718207,10.3250211,15.731,0.074,319.0,1669364430.3658118
55.4718207,10.3250211,15.731,0.074,319.0,1669364431.3657892
55.4718207,10.3250211,15.731,0.074,319.0,1669364432.3658319
55.4718207,10.3250211,15.731,0.074,319.0,1669364433.3659656
55.4718207,10.3250211,15.731,0.074,319.0,1669364434.3658288
55.4718207,10.3250211,15.731,0.074,319.0,1669364435.365828
55.4718207,10.3250211,15.731,0.074,319.0,1669364436.3658588
55.4718207,10.3250211,15.731,0.074,319.0,1669364437.365785
55.4718207,10.3250211,15.731,0.074,319.0,1669364438.3658578
55.4718207,10.3250211,15.731,0.074,319.0,1669364439.3658578
55.4718207,10.3250211,15.731,0.074,319.0,1669364440.3658645
55.4718207,10.3250211,15.731,0.074,319.0,1669364441.3658702
55.4718207,10.3250211,15.731,0.074,319.0,1669364442.3658624
55.4718207,10.3250211,15.731,0.074,319.0,1669364443.3658247
55.4718207,10.3250211,15.731,0.074,319.0,1669364444.3658605
55.4718207,10.3250211,15.731,0.074,319.0,1669364445.36581
55.4718207,10.3250211,15.731,0.074,319.0,1669364446.3658628
55.4718207,10.3250211,15.731,0.074,319.0,1669364447.3658516
55.4718207,10.3250211,15.731,0.074,319.0,1669364448.3658333
55.4718207,10.3250211,15.731,0.074,319.0,1669364449.365534
55.4718207,10.3250211,15.731,0.074,319.0,1669364450.3657246
55.4718207,10.3250211,15.731,0.074,319.0,1669364451.3658645
55.4718207,10.3250211,15.731,0.074,319.0,1669364452.365753
55.4718207,10.3250211,15.731,0.074,319.0,1669364453.3658605
55.4718207,10.3250211,15.731,0.074,319.0,1669364454.3657706
55.4718207,10.3250211,15.731,0.074,319.0,1669364455.365847
55.4718207,10.3250211,15.731,0.074,319.0,1669364456.3658087
55.4718207,10.3250211,15.731,0.074,319.0,1669364457.3659022
55.4718207,10.3250211,15.731,0.074,319.0,1669364458.3658495
55.4718207,10.3250211,15.731,0.074,319.0,1669364459.3658166
55.4718207,10.3250211,15.731,0.074,319.0,1669364460.365847
55.4718207,10.3250211,15.731,0.074,319.0,1669364461.3658926
55.4718207,10.3250211,15.731,0.074,319.0,1669364462.3658369
55.4718207,10.3250211,15.731,0.074,319.0,1669364463.3658414
55.4718207,10.3250211,15.731,0.074,319.0,1669364464.3660417
55.4718207,10.3250211,15.731,0.074,319.0,1669364465.3658266
55.4718207,10.3250211,15.731,0.074,319.0,1669364466.3658516
55.4718207,10.3250211,15.731,0.074,319.0,1669364467.3658621
55.4718207,10.3250211,15.731,0.074,319.0,1669364468.3658597
55.4718207,10.3250211,15.731,0.074,319.0,1669364469.3658686
55.4718207,10.3250211,15.731,0.074,319.0,1669364470.365831
55.4718207,10.3250211,15.731,0.074,319.0,1669364471.3658779
55.4718207,10.3250211,15.731,0.074,319.0,1669364472.365847
55.4718207,10.3250211,15.731,0.074,319.0,1669364473.3658655
55.4718207,10.3250211,15.731,0.074,319.0,1669364474.3657026
55.4718207,10.3250211,15.731,0.074,319.0,1669364475.365847
55.4718207,10.3250211,15.731,0.074,319.0,1669364476.365765
55.4718207,10.3250211,15.731,0.074,319.0,1669364477.3658202
55.4718207,10.3250211,15.731,0.074,319.0,1669364478.365841
55.4718207,10.3250211,15.731,0.074,319.0,1669364479.3658667
55.4718207,10.3250211,15.731,0.074,319.0,1669364480.3658144
55.4718207,10.3250211,15.731,0.074,319.0,1669364481.365806
55.4718207,10.3250211,15.731,0.074,319.0,1669364482.3658001
55.4718207,10.3250211,15.731,0.074,319.0,1669364483.3657987
55.4718207,10.3250211,15.731,0.074,319.0,1669364484.3658054
55.4718207,10.3250211,15.731,0.074,319.0,1669364485.3658092
