time,rssi,remrssi,noise,remnoise,rxerrors,fixed
1668087906.6741977,-70,-66,21,43,7,0
1668087907.2137723,-65,-60,20,48,7,0
1668087907.6741095,-65,-58,19,41,7,0
1668087908.2839417,-64,-61,19,46,7,0
1668087908.834125,-66,-60,21,41,7,0
1668087909.1939893,-68,-60,18,32,7,0
1668087909.7542048,-72,-61,22,42,7,0
1668087910.2139065,-78,-66,18,38,7,0
1668087910.81418,-83,-73,19,41,7,0
1668087911.3142116,-75,-75,22,44,7,0
1668087911.7240913,-77,-73,19,40,7,0
1668087912.2941298,-82,-76,21,37,7,0
1668087912.7542071,-81,-80,20,41,7,0
1668087913.3541346,-80,-76,21,41,7,0
1668087913.8237047,-79,-76,20,42,7,0
1668087914.2737916,-80,-75,19,42,7,0
1668087914.8342295,-80,-75,20,40,7,0
1668087915.2937648,-74,-74,20,42,7,0
1668087915.8946376,-71,-70,19,39,7,0
1668087916.3441234,-63,-62,18,40,7,0
1668087916.8140938,-60,-59,21,40,7,0
1668087917.3643472,-62,-58,21,43,7,0
1668087917.8341863,-72,-64,18,50,7,0
1668087918.3038943,-69,-63,21,35,7,0
1668087918.8943172,-68,-61,20,50,7,0
1668087919.384109,-67,-61,18,50,7,0
1668087919.8342485,-67,-63,19,48,7,0
1668087920.3739312,-67,-65,19,54,7,0
1668087920.8345737,-66,-65,21,54,7,0
1668087921.4442573,-63,-64,23,43,7,0
1668087921.9544034,-63,-64,21,46,7,0
1668087922.354251,-62,-61,23,48,7,0
1668087922.9140832,-62,-59,20,48,7,0
1668087923.3742278,-62,-59,19,48,7,0
1668087923.9743755,-61,-58,20,49,7,0
1668087924.4943926,-60,-57,19,54,7,0
1668087924.893757,-60,-56,20,52,7,0
1668087925.4543622,-61,-56,20,52,7,0
1668087925.9139457,-63,-58,19,52,7,0
1668087926.5139563,-64,-61,20,36,7,0
1668087926.984225,-70,-62,20,42,7,0
1668087927.434237,-75,-65,19,46,7,0
1668087928.0043297,-89,-65,20,46,7,0
1668087928.46412,-79,-71,18,47,7,0
1668087929.0742948,-74,-70,22,45,7,0
1668087929.514276,-69,-65,19,39,7,0
1668087929.9840398,-65,-65,20,39,7,0
1668087930.5343118,-59,-60,18,52,7,0
1668087931.0041754,-58,-56,17,45,7,0
1668087931.60447,-61,-58,21,51,7,0
1668087932.0640874,-61,-58,20,49,7,0
1668087932.554169,-67,-58,18,49,7,0
1668087933.0742657,-79,-62,20,44,7,0
1668087933.5441263,-88,-70,21,47,7,0
1668087934.1243298,-96,-73,19,41,7,0
1668087934.6243792,-98,-75,20,48,7,0
1668087935.154197,-98,-75,20,48,7,0
1668087935.614557,-95,-78,20,50,7,0
1668087936.074117,-98,-79,20,69,7,0
1668087936.6941826,-98,-83,21,44,7,0
1668087937.1339989,-94,-83,20,44,7,0
1668087937.674359,-93,-84,18,40,7,0
1668087938.1641033,-91,-84,21,36,7,0
1668087938.6240902,-95,-82,20,39,7,0
1668087939.0741875,-94,-82,19,48,7,0
1668087939.6742723,-94,-83,19,56,7,0
1668087940.1341295,-93,-83,21,44,7,0
1668087940.6142256,-94,-82,20,48,7,0
1668087941.1540828,-95,-81,19,44,7,0
1668087941.824373,-95,-82,20,57,7,0
1668087942.234522,-93,-82,19,57,7,0
1668087942.6943274,-95,-82,20,43,7,0
1668087943.1742432,-97,-83,19,45,7,0
1668087943.6942434,-97,-85,20,44,7,0
1668087944.3643286,-98,-89,20,44,7,0
1668087944.7843404,-98,-89,19,44,7,0
1668087945.2340837,-97,-90,18,67,7,0
1668087945.784175,-100,-89,20,41,7,0
1668087946.234261,-101,-88,21,39,7,0
1668087946.8843806,-97,-91,20,44,7,0
1668087947.3940623,-100,-91,19,38,7,0
1668087947.774084,-101,-91,19,38,7,0
1668087948.3145845,-99,-90,21,45,7,0
1668087948.774081,-100,-93,18,44,7,0
1668087949.3842382,-99,-92,22,36,7,0
1668087949.8443532,-103,-92,22,45,9,0
1668087950.2942421,-99,-93,19,48,9,0
1668087950.8541164,-96,-93,21,40,9,0
1668087951.3141434,-98,-93,19,48,9,0
1668087951.91475,-100,-94,19,46,9,0
1668087952.394283,-104,-94,19,42,10,0
1668087952.874022,-101,-94,19,41,10,0
1668087953.3941307,-98,-93,21,68,10,0
1668087953.8540363,-100,-92,21,50,10,0
1668087954.4443898,-103,-92,20,50,11,0
1668087954.9740436,-104,-93,19,47,12,0
1668087955.384229,-101,-94,20,45,12,0
1668087955.9241734,-99,-92,20,40,12,0
1668087956.3843632,-100,-91,19,45,12,0
1668087956.854065,-103,-91,21,48,12,0
1668087957.5244005,-103,-91,19,37,12,0
1668087958.0041652,-103,-91,20,37,12,0
1668087958.4042225,-102,-92,20,36,12,0
1668087958.9143083,-101,-91,22,42,12,0
1668087959.534341,-101,-91,17,43,12,0
1668087960.0141044,-101,-91,19,36,12,0
1668087960.4740512,-101,-91,19,45,12,0
1668087961.014071,-103,-91,19,45,13,0
1668087961.4741406,-105,-91,19,45,16,0
1668087962.0639155,-106,-91,20,45,18,0
1668087962.5338864,-107,-94,20,49,18,0
1668087963.0844626,-108,-94,20,49,19,0
1668087963.5444455,-108,-94,20,49,19,0
1668087964.014268,-108,-94,21,49,19,0
1668087964.4741015,-109,-94,20,49,19,0
1668087965.1641042,-109,-94,20,49,20,0
1668087965.6243424,-110,-94,20,49,20,0
1668087966.0941818,-110,-94,17,49,20,0
1668087966.5542202,-111,-120,20,0,20,0
1668087967.023921,-111,-120,19,0,20,0
1668087967.714042,-111,-96,19,36,21,0
1668087968.1742835,-111,-96,21,36,21,0
1668087968.6339788,-111,-96,20,36,22,0
1668087969.1141186,-109,-96,20,36,23,0
1668087969.7343376,-107,-97,21,41,24,0
1668087970.1643665,-104,-98,20,37,24,0
1668087970.6742249,-106,-98,19,59,26,0
1668087971.0942051,-105,-98,21,44,26,0
1668087971.6541424,-105,-98,19,38,27,0
1668087972.094291,-106,-98,20,47,28,0
1668087972.724231,-106,-98,19,44,29,0
1668087973.1840081,-104,-97,19,36,29,0
1668087973.6542153,-103,-96,18,53,29,0
1668087974.1741464,-103,-96,21,56,29,0
1668087974.6443098,-103,-96,19,56,29,0
1668087975.2537746,-106,-98,21,53,31,0
1668087975.7139773,-106,-97,21,47,32,0
1668087976.264211,-105,-97,21,47,32,0
1668087976.7241237,-105,-97,19,47,33,0
1668087977.184232,-105,-97,20,47,34,0
1668087977.8341823,-103,-96,18,39,34,0
1668087978.2541716,-104,-96,19,42,34,0
1668087978.6939316,-104,-96,18,51,34,0
1668087979.2540483,-102,-96,20,51,34,0
1668087979.71395,-101,-93,19,34,34,0
1668087980.3245666,-99,-92,21,43,34,0
1668087980.7743075,-101,-91,19,42,34,0
1668087981.3243139,-103,-92,21,35,34,0
1668087981.79396,-102,-92,19,35,34,0
1668087982.264398,-103,-92,21,41,34,0
1668087982.854214,-104,-93,21,34,34,0
1668087983.3340843,-104,-94,21,51,34,0
1668087983.8646317,-104,-94,20,51,34,0
1668087984.3442607,-105,-94,20,43,36,0
1668087984.8041544,-102,-94,22,45,36,0
1668087985.4441633,-100,-92,20,38,36,0
1668087985.8541713,-98,-92,20,38,36,0
1668087986.3442142,-97,-90,18,40,36,0
1668087986.8741739,-99,-90,19,35,36,0
1668087987.3441439,-101,-90,19,47,36,0
1668087987.9742901,-104,-93,24,47,36,0
1668087988.4341497,-104,-93,19,47,36,0
1668087988.8640811,-105,-93,17,47,37,0
1668087989.4042466,-105,-95,20,43,37,0
1668087989.874193,-106,-95,21,43,39,0
1668087990.5741332,-107,-95,22,43,43,0
1668087991.044125,-108,-95,20,43,44,0
1668087991.4842136,-109,-95,21,43,44,0
1668087991.954094,-109,-95,19,43,44,0
1668087992.4139926,-110,-95,21,43,44,0
1668087993.1241145,-111,-120,19,0,44,0
1668087993.5742784,-112,-120,21,0,44,0
1668087994.034258,-112,-120,18,0,44,0
1668087994.494205,-112,-120,20,0,45,0
1668087994.94422,-111,-120,19,0,45,0
1668087995.6540592,-111,-120,19,0,49,0
1668087996.1142986,-111,-120,19,0,50,0
1668087996.5645263,-111,-99,21,46,50,0
1668087997.024206,-111,-99,19,45,51,0
1668087997.643784,-109,-99,19,45,53,0
1668087998.1841502,-109,-99,20,45,55,0
1668087998.5744915,-109,-100,21,44,58,0
1668087999.0240273,-109,-100,18,48,59,0
1668087999.5641024,-109,-100,20,44,60,0
1668088000.0242705,-108,-99,18,47,61,0
1668088000.6342635,-108,-99,19,44,63,0
1668088001.084175,-108,-99,22,44,64,0
1668088001.64428,-108,-99,18,44,66,0
1668088002.1041472,-108,-99,19,51,67,0
1668088002.7942812,-108,-99,20,51,69,0
1668088003.2541785,-108,-99,19,51,72,0
1668088003.7239726,-108,-99,20,51,76,0
1668088004.184166,-108,-99,18,47,76,0
1668088004.653931,-108,-99,20,47,78,0
1668088005.2443244,-108,-99,21,47,81,0
1668088005.7044933,-108,-99,21,38,81,0
1668088006.164308,-108,-99,20,38,82,0
1668088006.6140702,-108,-99,21,38,83,0
1668088007.1740596,-108,-99,19,43,84,0
1668088007.6441338,-109,-99,19,43,86,0
1668088008.2340572,-109,-99,19,43,89,0
1668088008.6940606,-108,-99,22,40,91,0
1668088009.254044,-108,-99,21,43,92,0
1668088009.724279,-108,-100,18,50,93,0
1668088010.1843188,-106,-99,20,51,94,0
1668088010.8741188,-106,-99,19,51,94,0
